,comments,create_time,phone_type,user_id,user_name
0,浩森百闻不如一见,11-07,iPhone客户端,3744540347,銅雀春深一
1,回复ey我相信，可我还是恐婚恐孕,10-01,iPhone 7 Plus(玫瑰金),1293525085,冰淇淋大亨-
2,我相信会有 但我不相信他会发生在我身上,09-27,iPhone 7,2435216283,spo__
3,🙋我第一眼见到我老公的时候我就想好了以后结婚的场景，所幸我老公也是同感。,09-27,iPhone 6s,3298888191,我是阿co啊
4,你再浪丶 看评论,09-25,iPhone 6s,3280758351,友与敌i
5,因为现状就是结果真尼玛累，女性弱势还累死累活还不咋受观念和法律的保护。这样的话为啥结？只要你扛的住，不结婚只有不结婚的原罪，结了婚那你的“罪名”就更多了,09-25,vivo智能手机,2265421275,荒原临海-今天被喻黄甜到了么
6,你好歹也谈过一次……,09-22,iPhone 6,2759488391,空天的星球
7,回复ey遇不到要么就是你不去找、要么就是你要求太高但又不符合人家的要求,09-22,iPad客户端,2624631863,Sss只看不发
8,不管是结婚生子，还是自由单身，由自己选择的人生才会幸福，而不是听从别人的安排或蛊惑…可惜我到现在才明白这个道理……,09-21,iPhone SE,6016802591,脸是底线的momo
9,回复超级无敌萌三三对！不知道这些人逻辑学咋学的,09-21,iPhone 6s,5528007860,晴天_以前
10,我相信爱情啊不相信婚姻而已不行吗,09-21,iPhone 7,5231387129,辣手摧花小霸王--
11,回复沙耶味儿奶茶不能叫难 但一个掌握在自己手上 一个掌握在别人手上,09-21,iPhone 7,1751159720,资深女权癌_
12,我相信爱情，但更相信这些都不会属于我自己,09-20,OPPO R9s,3816733594,陈皮荭木漆
13,回复卖火柴的游游游游游游我是也是！！一定先看結局！！甜就看 就算了,09-20,iPhone 6s,6169871457,By_Bangieeeee
14,回复y/年少的时候看小说，觉得虐文刻骨铭心，年纪大了，就明白人艰不拆，现实中没那么多幸福美满的爱情，就在小说里期待一个圆满吧。讲真，我每次会先百度小说或者电视剧结局，圆满的就看，不好的就不看了。,09-20,iPhone 7,2442579704,卖火柴的游游游游游游
15,憧憬爱情是没错的啦~我也渴望能遇到美好的小哥哥呀~可是我希望不等于我一定能够遇得到。但是你的这份憧憬，在我看来也不是自甘堕落啊~有为之奋斗的目标并且努力追求，是一件很好的事,09-20,OPPO R9,5495056607,咸鱼少女的应答
16,”这么多年的求学之路耽误了感情”你还在认为你谈不成恋爱的原因是因为上学吗,09-20,iPhone客户端,5787365563,猫猫猫猫猫猫猫猫酱
17,只是在思考为什么结婚为什么生孩子🙂,09-20,Weibo.intl,1778470815,TheoctopusU
18,回复静心尽力生活的/哈哈哈哈哈哈哈,09-20,iPhone 6s,6169871457,By_Bangieeeee
19,回复y/你真的推荐的好好！！！哈哈哈哈那个老板真甜我看了一半都觉得自己要被齁死了！！！我就喜欢这种你喜欢我我喜欢你，没有什么小三小四乱七八糟的故事,09-20,救急的Android,3163955651,静心尽力生活的linda
20,回复小明高富帅打飞机快感和啪啪啪的快感你觉得哪个更好？？哦对不起 我忘了你是处男,09-20,iPhone 7 Plus,1941392767,李YIRAN-
21,回复小明高富帅其中包括你妈妈等你不是处男了以后 你才会明白,09-20,iPhone 7 Plus,1941392767,李YIRAN-
22,回复妮娜不是纳尼哈哈一人一条路啦,09-20,iPhone 7 Plus,1941392767,李YIRAN-
23,回复飲茶所長我倒觉得应该反过来给男生点教育为什么女生不喜欢你们自己好好反省一下，不尊重人，怀疑别人。明明自己也没好到哪里去救挑剔别人，像最近的什么分手就拿射钉枪杀人然后再自杀、分手就泼对方脏水等等，该反省的应该是男生，女生可以不找对象也可以自己过，男生没对象猥亵杀人强奸报复社会的也不少,09-20,iPhone 6,2727622575,九夜龙音
24,回复李-可能我的理想没有那么远大,09-20,iPhone 6s,1577621225,妮娜不是纳尼
25,回复吖咩爹呦因为我周围没有这样的啊都是很阳光的，爸爸也都很爱妈妈，好几个因为有了娃代理了母婴店，我觉得没什么不好啊,09-20,iPhone 6s,1577621225,妮娜不是纳尼
26,回复李-我想我这么软萌的微博名 怎么会是汉子 ,09-20,iPhone 6 Plus,5393064367,超级无敌萌三三
27,回复超级无敌萌三三我…点错了…,09-20,iPhone 7 Plus,1941392767,李YIRAN-
28,回复橙刺v一个女人如果只可以生孩子结婚的话 那生完孩子完成了使命 就去死好了？这些跑来抨击女性的 大多数都是没有女朋友对世界充满仇恨吧,09-20,iPhone 7 Plus,1941392767,李YIRAN-
29,回复李-？？我是女的啊 ？？,09-20,iPhone 6 Plus,5393064367,超级无敌萌三三
30,回复妮娜不是纳尼就是 很多时候 孩子和家庭会羁绊自己的脚步,09-20,iPhone 7 Plus,1941392767,李YIRAN-
31,回复李-莫名其妙一张图 搞什么鬼 这就是女权主义？这就是错误思想？一堆老爷们跑过来伸张正义？生孩子结婚家庭妇女就是女性的生存价值吗？那你妈把你生出来是不是可以去死了？生命的价值和意义都实现了 中华民族伟大复兴就交给你们带把儿的了 我们先去死了,09-20,iPhone 7 Plus,1941392767,李YIRAN-
32,回复超级无敌萌三三你别给男性抹黑了,09-20,iPhone 7 Plus,1941392767,李YIRAN-
33,回复妮娜不是纳尼不冲突啊～一个人一个想法啦～,09-20,iPhone 7 Plus,1941392767,李YIRAN-
34,回复小明高富帅你有女朋友吗？？？你妈当年也不一定是高潮了才中标怀的你吧？？,09-20,iPhone 7 Plus,1941392767,李YIRAN-
35,回复一只食肉兽的微博你们那男女不是同样的录取分数线么？,09-20,iPhone 6s,5234509488,iceboundsun
36,回复唯有更努力不负曾放弃今年三观最正回复,09-20,iPhone 6s,5234509488,iceboundsun
37,回复彭乐维-哈哈哈哈哈我也是，想哭还哭不出来,09-20,iPhone 6,5268458392,阿依洗路
38,回复静心尽力生活的/百度雲啊 啊陶陶的,09-20,iPhone 6s,6169871457,By_Bangieeeee
39,回复y/大美妞儿~你都在哪里看？我搜了下插翅难逃，好几个版本,09-20,救急的Android,3163955651,静心尽力生活的linda
40,我相信我有一天会发财的，然而……谁知道会不会呢？,09-20,iPhone 7,1842867352,Ashley咧
41,/  ,09-20,,5669948164,表zi声
42,还有，你看过了恐婚恐育之后还相信爱情才是真的相信，就像我看过幸福美满后还是不想婚不想育，脑子中只有一种观念是不足以确认自己的。,09-20,小米5s 拍照黑科技,5316437838,Asuka_pumpkin
43,回复下意识耽美也看言情，但是都是还挺严肃的言情，可能都称不太上言情,09-20,iPhone 6s Plus,2760637260,散到尾调的木质香
44,回复散到尾调的木质香哈哈哈哈之前问了虐文都是耽美的你们都喜欢耽美的呀 那我去把孤城闭看了,09-20,微博 weibo.com,2689628523,Sdominica
45,回复噗！！！对不起，我一时反应不过来还以为是耽美的地界。不过言情也有，高虐的比如《孤城闭》相爱但是时代束缚了他们，所有的阴差阳错成就了他们的相遇相知相爱，却也成为他们永远不可能在一起的原因,09-20,iPhone 6s Plus,2760637260,散到尾调的木质香
46,感觉这个话题每个月都要拎出来提啊……你喜欢什么就去相信什么 谁也碍不着谁呀 不想看恐婚恐育的就去看幸福美满的 比如堂妈小厨啊,09-20,小米5s 拍照黑科技,5316437838,Asuka_pumpkin
47,重点是她们觉得的圆满是不是你说的那种圆满吧,09-20,iPhone 7,1875304090,苏小瓜兮兮
48,回复散到尾调的木质香可以是女生爱而不得 或者是女生和男生因为误会的 可以不用走到一起的  我之前看一个算是比较虐的 曾经有一个人爱我如生命 很喜欢男主,09-20,微博 weibo.com,2689628523,Sdominica
49,回复看你怎么定义虐文了，因为不了解虐最后皆大欢喜的是一种，又爱又恨相互折磨到天荒地老的是一种，相爱但为大局不能相知相守的是一种，不知道自己爱对方渣渣渣最后幡然醒悟的是一种,09-20,iPhone 6s Plus,2760637260,散到尾调的木质香
50,只小说里和电视剧里见过，现实中还真没见过,09-20,iPhone 7 Plus,3287211575,葡萄藤上狂奔的蜗牛
51,不好意思，我认识的中年男人几乎都是出轨男，包括亲戚，甚至亲爹我都怀疑……爱情还是相信有的，但不会发生在我身上。至于生不生孩子可能以后会改变想法吧……,09-20,iPhone,2260850570,一个可爱的肥美少女
52,回复荧荧酱怨妇太多，自己非得贴着找渣屌，被伤害了又主张女权癌,09-20,iPhone 6s Plus,5938342554,吖咩爹呦
53,回复妮娜不是纳尼不用跟她们讲你多幸福，她们是会选择性屏蔽的，好的看不见，搞得全天下男的都对不起她们似的，可笑。,09-20,iPhone 6s Plus,5938342554,吖咩爹呦
54,相信啊，可是得等很久吧，毕竟自己还不够好。,09-20,告别不快vivo V3,5409743903,西晨的小爪爪
55,回复小明高富帅大概是问她七大姑八大姨凑来的吧,09-20,iPhone 6s Plus,5938342554,吖咩爹呦
56,回复一只食肉兽的微博废物？看你们一天到晚作的，你敢站一个男的面前这么说看敢不敢一巴掌把你扇懵？你是臭里钻出来的？,09-20,iPhone 6s Plus,5938342554,吖咩爹呦
57,回复草莓日报不要这样想！！！！我自己！没有洗衣煮饭带孩子！！依然可以把婚姻经营好啊！为什么结婚就要这么惨呢我身边也没有这样的妈妈啊都是一天带孩子出去玩跟老公一家三口玩的啊，不过我孩子现在上幼儿园了，都不能带他随时出门玩了,09-20,iPhone 6s,1577621225,妮娜不是纳尼
58,恐孕是真的有吧！之前看了好多微博说女孩子都能正常来姨妈生活作息也挺规律的但是就是不能生孩子！虽然是一件还有至少五六年的事情但是总感觉不检查一下就睡不着啊今天去医院体检顺便做了详细的彩超反复确认了医生一切都是没问题的才安心离开建议女孩子最好都去做一下详细！,09-20,,5880333761,安和谷与荣
59,回复奶茶少年营业中我也是个喜欢自己待着又不喜欢柴米油盐酱醋茶啊，不，我喜欢喝茶，我家的茶基本都是我来泡所以有啥都是我老公顺道买回来，我也不会做饭，只会煮面，蛋炒饭我妈说结婚了就啥都会了，我也还是都不会,09-20,iPhone 6s,1577621225,妮娜不是纳尼
60,回复奶茶少年营业中就我来说。我结婚不是为了寂寞啊我跟我老公谈恋爱的时候我俩在家多数也都是自己做自己的，也不是说非得时刻黏在一起，也要有各自的空间啊,09-20,iPhone 6s,1577621225,妮娜不是纳尼
61,我想法和你一样,09-20,iPhone客户端,2291470732,Giulio-
